0,0
1,26
2,17
3,15
4,19
5,19
6,17
7,20
8,18
9,20
10,15
11,14
0,0
1,17
2,16
3,17
4,14
5,13
6,16
7,18
8,13
0,0
1,17
2,19
3,24
4,18
5,23
6,16
7,9
8,15
9,15
10,19
11,21
12,18
13,16
14,17
15,24
16,22
17,24
18,22
19,24
20,24
21,12
22,19
23,23
24,17
25,0
26,12
27,0
28,0
29,20
30,15
31,18
32,16
33,22
34,23
35,23
36,23
37,22
38,17
39,23
40,14
41,24
42,25
43,23
44,6
45,7
46,13
47,14
48,19
49,18
50,21
51,16
52,14
53,21
54,21
55,9
56,11
57,14
58,13
59,16
60,21
61,18
62,23
63,22
64,24
65,18
0,0
1,26
2,23
3,18
4,19
5,22
6,21
7,21
8,20
